Age,Sex
47,2
122,4
20,1
155,3
23,1
104,3
67,5
18,1
126,6
29,1
22,1
56,2
41,2
84,5
21,1
165,4
34,2
86,7
23,1
273,9
42,1
56,4
216,6
95,4
78,2
19,1
47,3
28,1
39,3
57,4
29,1
23,1
115,4
60,3
18,1
42,2
21,1
21,1
142,6
29,1
30,1
21,2
-1,1
52,2
27,2
30,1
49,2
208,8
115,5
30,1
19,1
46,3
22,1
73,2
20,2
25,2
24,1
43,1
61,3
30,1
73,4
31,2
57,3
69,4
61,3
98,4
20,1
134,4
18,1
23,2
20,1
47,3
83,3
29,2
36,3
27,1
35,1
58,2
25,2
62,3
36,1
30,1
73,2
19,2
113,6
32,1
22,1
20,2
38,3
19,1
26,2
67,1
58,3
-1,2
58,2
33,1
119,4
166,4
27,2
25,1
17,2
43,2
34,2
157,5
94,2
111,2
84,3
44,2
121,4
75,3
38,1
58,2
174,9
40,2
90,2
67,5
75,2
65,3
17,1
80,2
26,1
41,1
22,1
79,4
52,2
96,5
26,2
43,1
52,4
34,2
66,2
51,1
33,1
39,2
53,2
62,4
40,2
79,1
77,5
25,1
178,6
46,1
21,1
45,2
119,4
53,1
36,3
29,2
52,3
47,1
26,2
79,4
19,1
71,1
30,1
26,1
115,9
1,1
45,1
20,1
21,2
101,5
22,1
120,3
41,1
77,2
18,1
5,2
62,2
67,5
146,6
48,1
30,1
65,4
21,1
23,1
39,1
15,2
18,2
16,2
67,4
17,1
17,2
84,2
59,4
80,1
44,1
36,1
28,2
33,3
38,3
61,3
29,1
141,6
17,1
37,3
34,2
36,1
65,2
28,2
40,2
21,1
33,1
24,2
104,2
59,3
92,2
71,1
29,1
108,6
29,1
99,4
29,2
76,3
-1,2
28,1
43,3
27,1
46,1
18,1
24,1
39,4
18,1
26,1
19,1
52,1
90,1
57,5
119,4
24,1
14,1
30,2
94,4
44,3
59,1
21,2
107,4
76,2
92,2
116,6
25,2
71,4
62,3
312,9
106,2
263,8
45,1
157,4
112,3
38,2
36,2
18,2
74,4
30,1
294,8
62,2
80,1
25,2
20,1
109,5
55,3
40,4
27,1
89,3
78,2
69,1
63,1
32,2
91,2
77,1
60,1
108,3
45,3
487,14
34,1
108,2
66,2
54,2
60,2
19,2
39,2
55,1
50,3
50,1
272,14
45,2
178,5
270,10
26,1
179,7
109,3
139,5
193,6
25,2
232,5
167,6
160,5
67,3
23,1
113,4
70,3
67,4
38,2
49,2
54,2
19,2
144,5
73,2
48,2
59,2
81,5
31,1
17,2
13,1
72,4
125,8
13,2
17,1
100,5
5,1
162,5
61,6
342,15
39,2
126,5
29,2
167,4
25,1
53,1
80,2
340,16
138,8
100,7
148,4
228,7
2,2
37,1
51,2
112,4
158,13
13,1
64,3
45,2
17,2
30,2
88,2
85,1
81,4
228,12
73,2
40,1
17,2
136,3
73,4
18,1
136,8
44,3
70,3
17,1
129,3
24,1
62,1
62,4
132,5
24,2
202,5
189,5
92,3
26,2
52,3
57,1
67,1
64,2
39,1
24,2
23,2
57,1
25,1
52,4
26,1
6,1
19,2
66,3
83,4
58,4
57,6
48,3
78,3
171,6
68,4
50,1
18,2
13,2
89,4
27,1
85,1
78,3
17,1
23,2
24,1
-1,1
64,5
91,4
-1,1
46,2
24,1
18,1
89,7
27,1
25,1
23,1
25,1
35,1
28,1
21,2
60,1
23,2
53,5
18,1
45,2
21,1
38,1
30,1
44,2
43,1
59,3
120,6
26,2
104,7
47,2
19,1
72,5
19,2
28,1
58,5
16,2
42,2
19,2
20,1
31,1
18,1
15,2
61,1
60,4
21,1
63,5
57,2
23,1
108,5
37,2
40,1
37,3
150,6
63,1
44,1
24,1
57,3
40,1
122,3
24,2
74,2
44,1
38,2
27,2
57,5
24,2
62,1
87,3
24,2
36,2
22,2
28,1
64,1
25,1
30,1
24,2
45,2
20,2
24,2
29,2
160,5
38,3
148,6
136,3
70,3
46,1
28,2
79,2
37,2
26,1
49,1
42,2
236,10
75,4
222,6
26,2
84,3
89,6
223,5
36,4
41,1
217,8
17,2
46,1
23,1
292,8
61,3
18,1
95,3
23,2
10,3
193,7
48,4
341,13
40,1
35,2
60,1
50,2
387,15
25,1
47,4
53,1
97,6
175,7
35,3
30,1
47,2
51,6
60,1
-1,2
56,2
229,9
59,2
83,5
228,10
69,1
72,1
295,12
258,8
57,2
57,2
11,1
28,2
94,3
34,3
161,5
24,1
222,11
46,1
29,1
91,8
78,4
28,2
125,8
23,1
271,7
24,1
42,1
130,7
43,2
119,3
145,5
41,1
108,3
20,1
123,4
23,2
37,3
43,2
34,1
24,2
20,2
45,1
34,2
45,3
38,4
44,1
42,1
38,1
44,2
119,7
43,2
165,5
27,1
19,1
143,7
133,2
30,1
40,2
19,1
107,3
75,2
44,2
49,3
94,6
24,1
158,4
44,3
47,4
17,1
27,1
0,1
52,2
24,2
22,2
62,2
37,4
76,6
76,2
22,1
22,2
38,1
50,2
66,4
49,2
22,1
44,1
18,2
200,5
19,1
62,6
34,1
24,1
55,2
23,2
27,1
35,2
89,2
20,2
30,1
86,5
120,3
45,4
141,7
19,1
18,1
63,1
95,4
62,1
61,1
35,1
51,1
23,2
39,1
177,6
38,1
45,1
61,4
22,1
46,1
166,7
125,7
42,1
36,1
88,2
80,4
14,2
23,2
56,1
18,2
18,1
64,1
62,2
107,6
119,4
143,9
133,7
23,1
178,12
74,6
31,1
71,3
125,4
117,3
69,1
245,11
59,2
74,1
33,1
71,1
93,3
94,3
24,2
36,2
82,2
79,2
23,1
54,3
62,3
59,2
36,2
81,6
72,3
49,2
79,3
19,1
45,2
91,3
164,5
111,2
62,1
20,2
225,5
107,4
76,2
33,2
16,1
94,2
57,2
29,2
62,1
85,3
232,9
70,1
82,4
147,6
67,2
45,2
8,1
70,1
16,1
18,2
88,1
175,4
79,3
41,2
76,1
76,2
70,2
60,2
28,1
53,1
90,3
23,1
90,3
221,6
84,2
95,2
56,2
40,2
170,7
49,1
65,2
256,9
46,1
134,4
65,2
72,3
33,1
474,11
63,2
29,2
18,1
71,3
36,2
60,3
54,5
33,1
127,5
152,4
59,1
22,1
198,5
36,1
114,7
102,3
91,3
56,3
53,4
108,3
97,5
34,1
109,5
48,4
36,1
32,2
92,4
117,3
40,1
18,2
107,4
109,3
135,4
35,1
154,5
103,5
226,6
68,2
152,3
6,2
134,7
16,1
48,2
133,7
4,1
49,1
52,2
34,2
6,1
37,3
25,2
16,2
21,2
41,4
95,2
17,1
80,2
181,9
21,1
79,2
155,7
133,3
99,3
38,1
270,12
113,4
5,1
109,2
24,2
28,1
2,1
319,15
61,3
37,4
32,1
79,3
55,2
134,5
57,2
39,2
145,6
28,2
96,3
18,2
28,2
64,2
43,1
126,7
47,2
184,4
27,1
34,2
224,7
33,1
39,2
20,2
229,13
31,2
81,4
64,3
31,1
44,1
26,2
36,3
48,2
17,2
101,6
46,1
17,1
56,1
43,1
18,1
23,1
113,5
14,1
42,2
21,2
61,2
82,6
51,1
-1,1
55,1
55,3
139,5
28,1
90,4
60,1
96,3
19,1
82,2
63,1
36,1
22,1
18,2
58,2
49,5
62,3
18,1
31,1
81,5
21,1
23,2
70,4
22,2
-1,1
29,1
51,1
27,1
20,2
93,2
39,1
56,2
31,2
42,1
18,1
88,4
50,1
21,1
19,2
59,2
28,1
47,2
42,1
33,1
40,2
57,1
46,1
196,8
39,2
17,1
101,5
43,1
38,2
10,2
19,1
115,5
6,1
61,2
66,1
248,14
87,2
18,1
125,5
-1,1
72,1
75,2
72,2
8,2
80,4
145,10
31,2
47,2
86,5
84,3
34,1
54,2
19,2
76,4
30,1
222,9
21,1
83,3
143,4
71,4
108,4
24,2
39,1
130,3
34,2
56,2
55,1
134,3
118,4
64,2
199,8
38,1
36,1
105,3
4,1
11,2
59,2
222,9
56,4
161,8
22,1
44,2
23,2
131,4
74,2
15,2
43,1
38,2
24,1
52,2
157,5
116,5
23,2
180,6
70,3
69,2
122,7
83,5
112,2
58,2
35,3
29,1
17,1
98,2
45,2
79,2
31,2
50,2
186,10
20,1
255,8
48,1
55,3
45,2
15,2
24,1
48,1
30,1
35,1
139,7
28,1
60,1
205,7
32,2
73,3
68,1
32,1
110,5
224,7
17,1
38,3
272,12
145,5
29,1
12,2
131,8
103,4
29,1
66,2
8,1
71,5
48,2
6,2
68,4
91,5
20,2
41,1
92,4
85,3
40,4
74,4
68,3
62,3
12,1
19,1
36,1
158,7
78,1
95,2
61,1
40,1
14,2
57,3
172,13
48,2
102,8
99,3
130,4
40,2
200,5
154,5
28,1
309,14
19,1
60,4
93,4
185,5
73,1
31,1
70,4
59,1
91,2
108,3
110,3
59,2
29,1
138,6
56,3
25,1
28,1
102,3
34,2
46,2
42,4
22,2
131,3
81,3
70,3
93,4
29,2
70,3
217,7
11,1
88,2
84,4
-1,1
96,3
31,3
27,1
38,2
22,2
31,2
63,3
65,2
98,5
49,2
40,2
80,4
57,3
55,1
60,1
107,5
-1,1
130,2
55,1
46,2
19,1
58,3
18,1
36,2
28,1
46,1
25,1
